id,parent_id,name,path
115547,NULL,"Plant equipment, tool",115547
116749,115547,Electric tool,115547.1167
116750,116749,"Drill (electrical, hand-operated)",115547.116749.116750
116751,116750,"Drill (high frequency, hand-operated )",115547.116749.116750.116751
116752,116750,"Drill (electric, hand-operated)",115547.116749.116750.116752
116753,116750,"Diamond drill (electric, hand-operated)",115547.116749.116750.116753
116754,116750,"Metal-core drill (electric, hand-operated)",115547.116749.116750.116754
116755,116750,"Hammer drill (electric, hand-operated)",115547.116749.116750.116755
116756,116750,"Angle drill (electric, hand-operated)",115547.116749.116750.116756
116757,116750,Hand drill (electric),115547.116749.116750.116757
116758,116750,"Drill (electr., hand-operated, unspecified)",115547.116749.116750.116758
116759,116750,"Drill (electrical, hand-operated, parts)",115547.116749.116750.116759
116760,116750,"Drill (electrical, hand-operated, accessories)",115547.116749.116750.116760
158366,116750,"Angle Drill Machine (Electric, Hand-Operated)",115547.116749.116750.158366
116761,116749,Rock drilling hammer (electrical),115547.116749.116761
116762,116761,Chisel drill (electric),115547.116749.116761.116762
116763,116761,Hammer chisel (electric),115547.116749.116761.116763
116764,116761,"Rock drilling hammer (electr., unspecified)",115547.116749.116761.116764
116765,116761,"Rock drilling hammer (electrical, parts)",115547.116749.116761.116765
116766,116761,"Rock drilling hammer (electrical, accessories)",115547.116749.116761.116766
116767,116749,Milling cutter (electrical),115547.116749.116767
116768,116767,Flat raw plug cutter (electric),115547.116749.116767.116768
116769,116767,Wood flute machine (electric),115547.116749.116767.116769
116770,116767,Router (electric),115547.116749.116767.116770
116771,116767,Chain hoist (electric),115547.116749.116767.116771
116772,116767,Putty cutter (electric),115547.116749.116767.116772
116773,116767,Lacquer cutter (electric),115547.116749.116767.116773
116774,116767,Wall groove cutter (electric),115547.116749.116767.116774
116775,116767,Surface cutter (electric),115547.116749.116767.116775
116776,116767,Restoration cutter (electric),115547.116749.116767.116776
116777,116767,Staircase jigsaw (electric),115547.116749.116767.116777
116778,116767,Roll groover,115547.116749.116767.116778
116779,116767,"Milling cutter (electr., unspecified)",115547.116749.116767.116779
116780,116767,"Milling cutter (electrical, parts)",115547.116749.116767.116780
116781,116767,"Milling cutter (electrical, accessories)",115547.116749.116767.116781
116782,116749,Screwdriver (electrical),115547.116749.116782
116783,116782,Screwdriver (high frequency),115547.116749.116782.116783
116784,116782,Rotational screwdriver (electric),115547.116749.116782.116784
116785,116782,Hammer screwdriver (electric),115547.116749.116782.116785
116786,116782,Magazine screwdriver (electric),115547.116749.116782.116786
116787,116782,"Screwdriver (electr., unspecified)",115547.116749.116782.116787
116788,116782,"Screwdriver (electrical, parts)",115547.116749.116782.116788
116789,116782,"Screwdriver (electrical, accessories)",115547.116749.116782.116789
116790,116749,Shears (electrical),115547.116749.116790
116791,116790,Edge trimmer (electric),115547.116749.116790.116791
116792,116790,Slot shears (electric),115547.116749.116790.116792
116793,116790,Metal shears (electric),115547.116749.116790.116793
116794,116790,Sheet nibbler (electric),115547.116749.116790.116794
116795,116790,"Shears (electr., unspecified)",115547.116749.116790.116795
116796,116790,"Shears (electrical, parts)",115547.116749.116790.116796
116797,116790,"Shears (electrical, accessories)",115547.116749.116790.116797
116798,116749,Saw (electrical),115547.116749.116798
116799,116798,Diamond saw (electric),115547.116749.116798.116799
116800,116798,Chest saw (electric),115547.116749.116798.116800
116801,116798,Manual strap saw (electric),115547.116749.116798.116801
116802,116798,Manual circular saw (electric),115547.116749.116798.116802
116803,116798,Chainsaw (electric),115547.116749.116798.116803
116804,116798,Strip saw (electric),115547.116749.116798.116804
116805,116798,Handsaw (electric),115547.116749.116798.116805
116806,116798,Jigsaw (electric),115547.116749.116798.116806
116807,116798,Bevel saw (electric),115547.116749.116798.116807
116808,116798,Chop saw electric (semi-stationary),115547.116749.116798.116808
116809,116798,"Table, chop and bevel saw (electric)",115547.116749.116798.116809
116810,116798,Panel saw (electric),115547.116749.116798.116810
116811,116798,Rope saw (electric),115547.116749.116798.116811
116812,116798,Table saw electric (semi-stationary),115547.116749.116798.116812
116813,116798,"Saw (electr., unspecified)",115547.116749.116798.116813
116814,116798,"Saw (electrical, parts)",115547.116749.116798.116814
116815,116798,"Saw (electrical, accessories)",115547.116749.116798.116815
158350,116798,"Table, Chop, and Bevel Saw (Electric)",115547.116749.116798.158350
158357,116798,Mitre Saw (Electrical),115547.116749.116798.158357
158368,116798,Plunge Saw (Electrical),115547.116749.116798.158368
158389,116798,Chainsaw (Combustion Engine),115547.116749.116798.158389
158390,116798,Diamond Saw (Combustion Engine),115547.116749.116798.158390
158410,116798,Manual Circular Saw (Combustion Engine),115547.116749.116798.158410
116816,116749,Grinder (electrical),115547.116749.116816
116817,116816,Sander (high frequency),115547.116749.116816.116817
116818,116816,Strap grinder (electric),115547.116749.116816.116818
116819,116816,Brush grinder (electric),115547.116749.116816.116819
116820,116816,Triangular grinder (electric),115547.116749.116816.116820
116821,116816,Eccentric grinder (electric),115547.116749.116816.116821
116822,116816,Finger grinder (electric),115547.116749.116816.116822
116823,116816,Flat-head grinder (electric),115547.116749.116816.116823
116824,116816,Straight grinder (electric),115547.116749.116816.116824
116825,116816,Linear grinder (electric),115547.116749.116816.116825
116826,116816,Wet grinder (electric),115547.116749.116816.116826
116827,116816,Oscillating grinder (electric),115547.116749.116816.116827
116828,116816,Wall and ceiling grinder (electric),115547.116749.116816.116828
116829,116816,Angle grinder (electric),115547.116749.116816.116829
116830,116816,Special flap tool (electric),115547.116749.116816.116830
116831,116816,Multifunctional grinder (electric),115547.116749.116816.116831
116832,116816,Pipe belt grinder (electric),115547.116749.116816.116832
116833,116816,Cut-off grinder stone (electric),115547.116749.116816.116833
116834,116816,Vario grinder (electric),115547.116749.116816.116834
116835,116816,Precision drilling and grinding tool (electric),115547.116749.116816.116835
116836,116816,Drilling grinder,115547.116749.116816.116836
116837,116816,Fiber optic polishing machine,115547.116749.116816.116837
116838,116816,Precision drill/grinder set (electric),115547.116749.116816.116838
116839,116816,Needle scaler (electric),115547.116749.116816.116839
116840,116816,Drill bit sharpening machine,115547.116749.116816.116840
116841,116816,Belt file (electric),115547.116749.116816.116841
116842,116816,"Grinder (electr., unspecified)",115547.116749.116816.116842
116843,116816,"Grinder (electrical, parts)",115547.116749.116816.116843
116844,116816,"Grinder (electrical, accessories)",115547.116749.116816.116844
158361,116816,Random Orbital Disc Sander (Electric),115547.116749.116816.158361
158393,116816,Linear Grinder (Rechargeable),115547.116749.116816.158393
116845,116749,"Hot air ventilator, hot air gun",115547.116749.116845
116846,116845,Hot-air blower (electric),115547.116749.116845.116846
116847,116845,Stone cutting machine (machine tool),115547.116749.116845.116847
116848,116845,Heating device for work pieces (electrical),115547.116749.116845.116848
116849,116845,"Hot air ventilator, hot air gun (unspecified)",115547.116749.116845.116849
116850,116845,"Hot air ventilator, hot air gun (parts)",115547.116749.116845.116850
116851,116845,"Hot air ventilator, hot air gun (accessories)",115547.116749.116845.116851
158412,116845,Hot-Air Blower (Rechargeable),115547.116749.116845.158412
116852,116749,Electric power generator,115547.116749.116852
116853,116852,Electric power generator (unspecified),115547.116749.116852.116853
116854,116852,Electric power generator (parts),115547.116749.116852.116854
116855,116852,Electric power generator (accessories),115547.116749.116852.116855
116856,116749,Cutter (rechargeable),115547.116749.116856
116857,116856,Router (rechargeable),115547.116749.116856.116857
116858,116856,Surface cutter (rechargeable),115547.116749.116856.116858
116859,116856,"Cutter (rechargeable, unspecified)",115547.116749.116856.116859
116860,116856,"Cutter (rechargeable, parts)",115547.116749.116856.116860
116861,116856,"Cutter (rechargeable, accessories)",115547.116749.116856.116861
116862,116749,Hammer drill (rechargeable),115547.116749.116862
116863,116862,Rotary and demolition hammer (rechargeable),115547.116749.116862.116863
116864,116862,"Hammer drill (rechargeable, unspecified)",115547.116749.116862.116864
116865,116862,"Hammer drill (rechargeable, parts)",115547.116749.116862.116865
116866,116862,"Hammer drill (rechargeable, accessories)",115547.116749.116862.116866
116867,116749,Drill (rechargeable),115547.116749.116867
116868,116867,Drill/screwdriver (rechargeable),115547.116749.116867.116868
116869,116867,Hammer drill/screwdriver (rechargeable),115547.116749.116867.116869
116870,116867,Angle drill machine (rechargeable),115547.116749.116867.116870
116871,116867,"Drill (rechargeable, unspecified)",115547.116749.116867.116871
116872,116867,"Drill (rechargeable, parts)",115547.116749.116867.116872
116873,116867,"Drill (rechargeable, accessories)",115547.116749.116867.116873
158367,116867,Angle Drill Mahine (Rechargeable),115547.116749.116867.158367
158371,116867,Metal-Core Drill (Rechargeable),115547.116749.116867.158371
158414,116867,Drill (Rechargeable/Unspecified),115547.116749.116867.158414
116874,116749,Screwdriver (rechargeable),115547.116749.116874
116875,116874,Hammer screwdriver (rechargeable),115547.116749.116874.116875
116876,116874,Quick assembly screwdriver (rechargeable),115547.116749.116874.116876
116877,116874,Angle screwdriver (rechargeable),115547.116749.116874.116877
116878,116874,Angle screw driller (rechargeable),115547.116749.116874.116878
116879,116874,Magazine screwdriver (rechargeable),115547.116749.116874.116879
116880,116874,Angle Wrench (battery),115547.116749.116874.116880
116881,116874,Pistol grip nutrunner (rechargeable),115547.116749.116874.116881
116882,116874,"Screwdriver (rechargeable, unspecified)",115547.116749.116874.116882
116883,116874,"Screwdriver (rechargeable, parts)",115547.116749.116874.116883
116884,116874,"Screwdriver (rechargeable, accessories)",115547.116749.116874.116884
116885,116749,Saw (rechargeable),115547.116749.116885
116886,116885,Chest saw (rechargeable),115547.116749.116885.116886
116887,116885,Manual circular saw (rechargeable),115547.116749.116885.116887
116888,116885,Cross-cut saw (rechargeable),115547.116749.116885.116888
116889,116885,Chain saw (rechargeable),115547.116749.116885.116889
116890,116885,Handsaw (rechargeable),115547.116749.116885.116890
116891,116885,Jigsaw (rechargeable),115547.116749.116885.116891
116892,116885,Belt saw (rechargeable),115547.116749.116885.116892
116893,116885,"Saw (rechargeable, unspecified)",115547.116749.116885.116893
116894,116885,"Saw (rechargeable, parts)",115547.116749.116885.116894
116895,116885,"Saw (rechargeable, accessories)",115547.116749.116885.116895
158348,116885,Mitre Saw (Rechargeable),115547.116749.116885.158348
158369,116885,Plunge Saw (Rechargeable),115547.116749.116885.158369
158379,116885,"Table, Chop, and Bevel Saw (Rechargeable)",115547.116749.116885.158379
158382,116885,Diamond Saw (Rechargeable),115547.116749.116885.158382
158404,116885,Bevel Saw (Rechargeable),115547.116749.116885.158404
116896,116749,Cutters (rechargeable),115547.116749.116896
116897,116896,Edge trimmer (rechargeable),115547.116749.116896.116897
116898,116896,Slot shears (rechargeable),115547.116749.116896.116898
116899,116896,Universal trimmer (rechargeable),115547.116749.116896.116899
116900,116896,Metal scissors (battery),115547.116749.116896.116900
116901,116896,General purpose cutter (rechargeable battery),115547.116749.116896.116901
116902,116896,Sheet nibbler (rechargeable),115547.116749.116896.116902
116903,116896,"Cutters (rechargeable, unspecified)",115547.116749.116896.116903
116904,116896,"Cutters (rechargeable, parts)",115547.116749.116896.116904
116905,116896,"Cutters (rechargeable, accessories)",115547.116749.116896.116905
158413,116896,Sheet Nibbler (Rechanrgeable),115547.116749.116896.158413
116906,116749,Grinder (rechargeable),115547.116749.116906
116907,116906,Straight grinder (rechargeable),115547.116749.116906.116907
116908,116906,Oscillating grinder (rechargeable),115547.116749.116906.116908
116909,116906,Angle grinder (rechargeable),115547.116749.116906.116909
116910,116906,Random orbital disc sander (rechargeable),115547.116749.116906.116910
116911,116906,Vario grinder (rechargeable),115547.116749.116906.116911
116912,116906,Precision drill/grinder (battery),115547.116749.116906.116912
116913,116906,Precision drill/grinder set (battery),115547.116749.116906.116913
116914,116906,Needle scaler (rechargeable),115547.116749.116906.116914
116915,116906,"Grinder (rechargeable, unspecified)",115547.116749.116906.116915
116916,116906,"Grinder (rechargeable, parts)",115547.116749.116906.116916
116917,116906,"Grinder (rechargeable, accessories)",115547.116749.116906.116917
158360,116906,"Sander (High Frequency, Rechargeable))",115547.116749.116906.158360
